Games,Host,Details,Designer(s),Mint,"Diameter
(mm)","Thickness
(mm)","Weight
(g)",image
1896,"Athens, Greece","Obverse: Zeus holding Nike
Reverse: The Acropolis",Jules-Clément Chaplain,Paris Mint,48,3.8,047,
1900,"Paris, France","Obverse: Winged goddess holding laurel branches; Paris in the background
Reverse: A victorious athlete holding a laurel branch; the Acropolis in the background
 Note: The only Summer Olympic medal that is not circular",Frédérique Vernon,Paris Mint,59 x 41,3.2,053,
1904,"St. Louis, Missouri, U.S.","Obverse: Nike holding a laurel crown and a palm leaf
Reverse: An athlete holding a laurel crown; Greek temple in the background",Dieges & Clust,Dieges & Clust,37.8,3.5,021,
1908,"London, Great Britain","Obverse: An athlete receiving a laurel crown from two female figures
Reverse: Saint George atop a horse
Edge: ""Vaughton"", event name and winner",Bertram Mackennal,Vaughton & Sons,33,4.4,021,
1912,"Stockholm, Sweden","Obverse: An athlete receiving a laurel crown from two female figures
Reverse: A herald opening the Games with a statue of Pehr Henrik Ling behind him","Bertram Mackennal (obverse)
Erik Lindberg (reverse)",C.C. Sporrong & Co,33.4,1.5,024,
1920,"Antwerp, Belgium","Obverse: An athlete holding a laurel crown and a palm leaf
Reverse: Statue of Silvius Brabo
Edge: Name, event, team, ""Antwerp"", and the date",Josué Dupon,Coosmans,59,4.4,079,.mw-parser-output .tmulti .thumbinner{display:flex;flex-direction:column}.mw-parser-output .tmulti .trow{display:flex;flex-direction:row;clear:left;flex-wrap:wrap;width:100%;box-sizing:border-box}.mw-parser-output .tmulti .tsingle{margin:1px;float:left}.mw-parser-output .tmulti .theader{clear:both;font-weight:bold;text-align:center;align-self:center;background-color:transparent;width:100%}.mw-parser-output .tmulti .thumbcaption{text-align:left;background-color:transparent}.mw-parser-output .tmulti .text-align-left{text-align:left}.mw-parser-output .tmulti .text-align-right{text-align:right}.mw-parser-output .tmulti .text-align-center{text-align:center}@media all and (max-width:720px){.mw-parser-output .tmulti .thumbinner{width:100%!important;box-sizing:border-box;max-width:none!important;align-items:center}.mw-parser-output .tmulti .trow{justify-content:center}.mw-parser-output .tmulti .tsingle{float:none!important;max-width:100%!important;box-sizing:border-box;text-align:center}.mw-parser-output .tmulti .thumbcaption{text-align:center}}
1924,"Paris, France","Obverse: An athlete helping another to stand
Reverse: A harp and various items of sports equipment",André Rivaud,Paris Mint,55,4.8,079,
1928,"Amsterdam, Netherlands","Design: Trionfo
Note: This obverse design, sometimes recreated, remains until 2004, the reverse design remained until 1972",Giuseppe Cassioli,Dutch State Mint,55,3,066,
1932,"Los Angeles, U.S.",Design: Trionfo,Giuseppe Cassioli,Whitehead & Hoag,55.3,5.7,096,
1936,"Berlin, Germany","Design: Trionfo
""B.H MAYER PFORZHEIM 990""",Giuseppe Cassioli,B.H. Mayer,55,5,071,
